City,Country,Region
Aachen,Germany,Western Europe
Liege,Belgium,Western Europe
Maastricht,Netherlands,Western Europe
Aberdeen,United Kingdom,Northern Europe
Abidjan,Ivory Coast,Africa
Abu Dhabi,United Arab Emirates,Western Asia
Addis Ababa,Ethiopia,Africa
Adelaide,Australia,Oceania
Ahmedabad,India,South Asia
Akron,United States,North America
Albany,United States,North America
Albuquerque,United States,North America
Alexandria,Egypt,Africa
Allentown,United States,North America
Anápolis,Brazil,South America
Anshan,China,East Asia
Atlanta,United States,North America
Austin,United States,North America
Bakersfield,United States,North America
Baltimore,United States,North America
Baotou,China,East Asia
Baton Rouge,United States,North America
Beijing,China,East Asia
Belfast,United Kingdom,Northern Europe
Belo Horizonte,Brazil,South America
Bengaluru,India,South Asia
Berlin,Germany,Western Europe
Bielefeld-Detmold,Germany,Western Europe
Birmingham,United Kingdom,Northern Europe
Alabama,United States,North America
Bologna,Italy,Southern Europe
Bordeaux,France,Western Europe
Boston,United States,North America
Brasília,Brazil,South America
Wolfsburg,Germany,Western Europe
Bremen,Germany,Western Europe
Bridgeport,United States,North America
Brisbane,Australia,Oceania
Bristol,United Kingdom,Northern Europe
Buffalo,United States,North America
Busan,South Korea,East Asia
Calgary,Canada,North America
Cambridge,United Kingdom,Northern Europe
Campinas,Brazil,South America
Campo Grande,Brazil,South America
Campos dos Goytacazes,Brazil,South America
Cape Town,South Africa,Africa
Cardiff-Newport,United Kingdom,Northern Europe
Changchun,China,East Asia
Changsha,China,East Asia
Changzhou,China,East Asia
Charlotte,United States,North America
Chengdu,China,East Asia
Chennai,India,South Asia
Chicago,United States,North America
Chongqing,China,East Asia
Cincinnati,United States,North America
Cleveland,United States,North America
Columbia,United States,North America
Columbus,United States,North America
Coventry,United Kingdom,Northern Europe
Curitiba,Brazil,South America
Daegu,South Korea,East Asia
Daejeon,South Korea,East Asia
Dalian,China,East Asia
Dallas–Fort Worth,United States,North America
Daqing,China,East Asia
Dayton,United States,North America
Delhi,India,South Asia
Denver,United States,North America
Des Moines,United States,North America
Detroit,United States,North America
Dongguan,China,East Asia
Dongying,China,East Asia
Durban,South Africa,Africa
Durham,United States,North America
East Rand,South Africa,Africa
Edinburgh,United Kingdom,Northern Europe
Edmonton,Canada,North America
El Paso,United States,North America
Faisalabad,Pakistan,South Asia
Florence,Italy,Southern Europe
Fortaleza,Brazil,South America
Foshan,China,East Asia
Frankfurt,Germany,Western Europe
Fresno,United States,North America
Fukuoka–Kitakyushu,Japan,East Asia
Fuzhou,China,East Asia
Geneva,Switzerland,Western Europe
Glasgow,United Kingdom,Northern Europe
Goiânia,Brazil,South America
Grand Rapids,United States,North America
Greensboro,United States,North America
Greenville,United States,North America
Guangzhou,China,East Asia
Gujranwala,Pakistan,South Asia
Gwangju,South Korea,East Asia
Hamamatsu,Japan,East Asia
Hamburg,Germany,Western Europe
Hangzhou,China,East Asia
Hannover,Germany,Western Europe
Harbin,China,East Asia
Harrisburg,United States,North America
Hartford,United States,North America
Hefei,China,East Asia
Hiroshima,Japan,East Asia
Honolulu,United States,North America
Houston,United States,North America
Hsinchu,Taiwan,East Asia
Huhehaote,China,East Asia
Huntsville,United States,North America
Hyderabad,India,South Asia
Indianapolis,United States,North America
Islamabad,Pakistan,South Asia
Jacksonville,United States,North America
Jaipur,India,South Asia
Jinan,China,East Asia
Johannesburg,South Africa,Africa
Jundiaí,Brazil,South America
Kagoshima,Japan,East Asia
Kanpur,India,South Asia
Kansas City,United States,North America
Kaohsiung,Taiwan,East Asia
Karachi,Pakistan,South Asia
Karlsruhe,Germany,Western Europe
Kingston-upon-Hull,United Kingdom,Northern Europe
Knoxville,United States,North America
Kolkata,India,South Asia
Kumamoto,Japan,East Asia
Kunming,China,East Asia
Lahore,Pakistan,South Asia
Las Vegas,United States,North America
Leeds,United Kingdom,Northern Europe
Leicester,United Kingdom,Northern Europe
Leipzig-Halle,Germany,Western Europe
Lille,France,Western Europe
Little Rock,United States,North America
Liverpool,United Kingdom,Northern Europe
London,United Kingdom,Northern Europe
Los Angeles,United States,North America
Louisville,United States,North America
Lucknow,India,South Asia
Luton,United Kingdom,Northern Europe
Lyon,France,Western Europe
Madison,United States,North America
Manaus,Brazil,South America
Manchester,United Kingdom,Northern Europe
Marseille,France,Western Europe
Melbourne,Australia,Oceania
Memphis,United States,North America
Miami,United States,North America
Milan,Italy,Southern Europe
Milwaukee,United States,North America
Minneapolis/St. Paul,United States,North America
Montreal,Canada,North America
Multan,Pakistan,South Asia
Mumbai,India,South Asia
Munich,Germany,Western Europe
Nagoya,Japan,East Asia
Nagpur,India,South Asia
Nanchang,China,East Asia
Nanjing,China,East Asia
Nanning,China,East Asia
Nantes,France,Western Europe
Nantong,China,East Asia
Naples,Italy,Southern Europe
Nashville,United States,North America
New Haven,United States,North America
New Orleans,United States,North America
New York,United States,North America
Newcastle,United Kingdom,Northern Europe
Nice,France,Western Europe
Niigata,Japan,East Asia
Ningbo,China,East Asia
Nottingham-Derby,United Kingdom,Northern Europe
Nürnberg-Fürth,Germany,Western Europe
Okayama,Japan,East Asia
Oklahoma City,United States,North America
Omaha,United States,North America
Orlando,United States,North America
Osaka–Kobe,Japan,East Asia
Ottawa,Canada,North America
Oxnard,United States,North America
Paris,France,Western Europe
Patna,India,South Asia
Perth,Australia,Oceania
Philadelphia,United States,North America
Phoenix,United States,North America
Pittsburgh,United States,North America
Portland,United States,North America
Porto Alegre,Brazil,South America
Portsmouth,United Kingdom,Northern Europe
Pretoria,South Africa,Africa
Providence,United States,North America
Pune,India,South Asia
Qingdao,China,East Asia
Quebec City,Canada,North America
Raleigh,United States,North America
Recife,Brazil,South America
Rhine-Ruhr,Germany,Western Europe
Richmond,United States,North America
Rio de Janeiro,Brazil,South America
Riverside–San Bernardino,United States,North America
Rochester,United States,North America
Rome,Italy,Southern Europe
Saarbrucken,Germany,Western Europe
Sacramento,United States,North America
Salt Lake City,United States,North America
Salvador,Brazil,South America
San Antonio,United States,North America
San Diego,United States,North America
San Francisco,United States,North America
San Jose,United States,North America
Santos,Brazil,South America
São José dos Campos,Brazil,South America
São José dos Pinhais,Brazil,South America
São Paulo,Brazil,South America
Sapporo,Japan,East Asia
Seattle,United States,North America
Sendai,Japan,East Asia
Seoul,South Korea,East Asia
Shanghai,China,East Asia
Shantou,China,East Asia
Sheffield,United Kingdom,Northern Europe
Shenyang,China,East Asia
Shenzhen,China,East Asia
Shijiazhuang,China,East Asia
Shizuoka,Japan,East Asia
Sorocaba,Brazil,South America
Southampton,United Kingdom,Northern Europe
Springfield,United States,North America
St. Louis,United States,North America
Strasbourg,France,Western Europe
Stuttgart,Germany,Western Europe
Surat,India,South Asia
Suzhou,China,East Asia
Sydney,Australia,Oceania
Syracuse,United States,North America
Taichung,Taiwan,East Asia
Tainan,Taiwan,East Asia
Taipei,Taiwan,East Asia
Taiyuan,China,East Asia
Tampa,United States,North America
Tangshan,China,East Asia
Taoyuan,Taiwan,East Asia
Tianjin,China,East Asia
Tokyo,Japan,East Asia
Toronto,Canada,North America
Toulouse,France,Western Europe
Tucson,United States,North America
Tulsa,United States,North America
Turin,Italy,Southern Europe
Uberlandia,Brazil,South America
Vancouver,Canada,North America
Venice-Padua,Italy,Southern Europe
Virginia Beach,United States,North America
Visakhapatnam,India,South Asia
Vitória,Brazil,South America
Washington-DC,United States,North America
Wenzhou,China,East Asia
Winnipeg,Canada,North America
Worcester,United States,North America
Wuhan,China,East Asia
Wulumuqi,China,East Asia
Wuxi,China,East Asia
Xiamen,China,East Asia
Xian,China,East Asia
Xuzhou,China,East Asia
Yantai,China,East Asia
Yerevan,Armenia,East Europe
Zhengzhou,China,East Asia
Zhongshan,China,East Asia
Zhuhai,China,East Asia
Zibo,China,East Asia
Zürich,Switzerland,Western Europe